Class,Violet,Blue,Green,Yellow,Orange,Red
Mentah,30,30,43,54,27,30
Mentah,30,29,43,54,27,30
Mentah,30,29,43,54,27,29
Mentah,25,27,38,50,25,26
Mentah,25,27,38,50,25,25
Mentah,25,27,38,50,25,25
Mentah,35,35,43,62,28,33
Mentah,34,35,43,62,28,33
Mentah,34,35,43,62,28,32
Mentah,42,33,45,58,32,37
Mentah,42,33,45,58,32,36
Mentah,42,33,45,58,32,36
Mentah,32,29,45,57,29,27
Mentah,31,28,45,57,29,27
Mentah,31,29,45,57,30,27
Mentah,52,37,53,69,38,44
Mentah,52,37,53,69,38,44
Mentah,52,37,53,69,38,43
Mentah,49,41,45,63,29,44
Mentah,49,41,45,63,29,44
Mentah,49,40,45,63,29,43
Mentah,39,37,44,61,31,42
Mentah,39,37,44,61,31,41
Mentah,39,36,44,61,31,41
Mentah,40,32,41,57,29,33
Mentah,40,32,41,57,29,33
Mentah,40,32,41,57,29,32
Mentah,35,36,44,62,29,37
Mentah,34,35,41,60,26,35
Mentah,35,36,44,62,28,35
Mentah,42,34,39,57,27,39
Mentah,42,34,39,57,27,38
Mentah,42,34,38,57,27,38
Mentah,41,30,37,52,26,35
Mentah,40,30,37,52,26,34
Mentah,39,30,37,51,26,33
Mentah,35,39,34,56,26,39
Mentah,34,35,34,56,25,38
Mentah,34,34,34,55,25,37
Mentah,29,34,39,56,28,34
Mentah,28,37,38,56,28,33
Mentah,28,34,38,56,27,32
Mentah,40,34,39,57,28,40
Mentah,39,34,39,57,28,39
Mentah,38,34,39,56,28,38
Mentah,39,35,48,65,34,36
Mentah,39,35,48,65,34,35
Mentah,39,35,48,64,34,35
Mentah,48,41,44,66,32,47
Mentah,47,39,42,64,30,45
Mentah,47,40,44,66,32,45
Mentah,33,33,42,56,27,28
Mentah,33,32,41,54,26,27
Mentah,33,33,42,56,28,28
Mentah,29,32,45,59,29,32
Mentah,29,32,45,59,28,31
Mentah,29,31,45,60,29,31
Mentah,42,30,34,50,26,38
Mentah,42,30,34,50,25,37
Mentah,42,30,34,51,26,37
Mentah,38,37,42,60,29,36
Mentah,39,33,42,61,29,36
Mentah,39,33,43,61,30,36
Mentah,38,40,34,60,24,42
Mentah,38,40,34,60,24,41
Mentah,38,40,34,59,24,41
Mentah,34,34,43,58,28,34
Mentah,34,35,45,60,30,34
Mentah,33,34,43,59,28,33
Mentah,41,42,47,66,29,42
Mentah,40,42,48,67,29,41
Mentah,40,42,48,67,29,41
Mentah,44,39,48,68,31,43
Mentah,44,39,48,67,31,42
Mentah,44,39,48,67,30,41
Mentah,36,26,25,40,20,35
Mentah,38,27,30,44,23,35
Mentah,41,28,30,46,24,36
Mentah,37,19,42,41,33,19
Mentah,47,22,40,45,33,31
Mentah,48,21,40,44,32,30
Mentah,45,40,47,66,32,47
Mentah,42,40,50,69,34,44
Mentah,40,39,48,66,33,43
Mentah,39,40,47,68,29,38
Mentah,38,40,47,68,29,37
Mentah,39,40,47,68,29,36
Mentah,31,34,43,58,28,35
Mentah,32,35,42,59,27,36
Mentah,31,35,42,59,27,35
Mentah,46,42,49,69,33,53
Mentah,46,42,49,69,33,52
Mentah,46,42,49,69,33,50
Mentah,38,36,37,57,25,40
Mentah,37,36,37,57,25,39
Mentah,37,36,36,57,24,38
Mentah,43,40,46,68,30,45
Mentah,43,40,46,68,30,45
Mentah,43,40,46,68,30,44
Mentah,31,28,41,52,25,29
Mentah,31,28,41,52,25,29
Mentah,31,28,41,52,25,28
Mentah,32,27,42,47,29,28
Mentah,31,27,41,46,29,27
Mentah,32,27,42,47,29,27
Mentah,38,35,44,63,30,39
Mentah,40,36,45,65,31,40
Mentah,37,34,47,65,33,37
Mentah,32,33,35,57,22,36
Mentah,32,33,34,56,22,36
Mentah,33,34,36,58,24,36
Mentah,24,29,41,54,26,28
Mentah,24,29,41,54,26,28
Mentah,24,29,41,54,26,27
Mentah,23,29,37,51,24,27
Mentah,23,29,37,52,25,27
Mentah,23,29,37,52,25,26
Mentah,39,31,39,55,26,37
Mentah,39,31,39,55,26,37
Mentah,39,31,39,55,26,36
Mentah,36,30,36,50,22,33
Mentah,35,30,36,50,23,32
Mentah,35,32,37,50,23,32
Mentah,23,27,30,43,19,24
Mentah,23,27,31,44,20,24
Mentah,23,26,31,43,21,24
Mentah,35,35,47,63,26,30
Mentah,35,35,48,63,26,30
Mentah,35,35,48,63,26,30
Mentah,32,30,48,59,32,34
Mentah,32,30,48,59,32,33
Mentah,32,30,48,58,32,32
Mentah,39,45,48,66,30,47
Mentah,39,40,48,66,30,45
Mentah,40,41,48,66,30,45
Mentah,35,29,37,54,25,31
Mentah,34,29,38,54,25,30
Mentah,34,29,38,54,25,30
Mentah,29,31,31,50,19,25
Mentah,28,30,30,49,18,24
Mentah,28,30,31,48,18,23
Mentah,32,37,41,60,26,37
Mentah,32,37,41,60,26,36
Mentah,32,37,41,60,26,35
Mentah,41,42,39,63,23,42
Mentah,41,42,39,63,23,42
Mentah,41,42,39,63,23,41
Mentah,39,40,45,63,28,40
Mentah,39,40,45,63,28,39
Mentah,36,36,48,63,31,36
Mentah,35,37,48,67,33,34
Mentah,35,37,48,67,33,34
Mentah,35,36,48,66,33,33
Mentah,32,29,40,54,25,28
Mentah,32,29,41,53,25,28
Mentah,32,31,40,53,25,27
Mentah,40,37,46,63,30,39
Mentah,40,37,46,63,30,38
Mentah,40,37,46,63,30,38
Mentah,31,29,42,56,27,28
Mentah,31,29,42,56,26,28
Mentah,31,29,42,57,26,28
Mentah,34,30,42,55,26,32
Mentah,35,30,42,55,26,31
Mentah,34,31,41,56,26,30
Mentah,35,28,41,54,25,28
Mentah,34,27,40,53,24,27
Mentah,32,26,37,50,23,26
Mentah,45,27,31,45,21,36
Mentah,43,26,31,44,20,34
Mentah,41,25,31,44,20,32
